Local Authorities,Designated Family Ct,RefData Court Name,Local Custodian code,Specific PostCodes,Excludes,epimms,Address,emailAddress,Status
Rutland County Council,Peterborough County Court,Peterborough Combined Court Centre,2470,,,471569,"Crown Buildings, Rivergate, PE1 1EJ",,Open
Salford City Council,Manchester Civil Justice Centre,Manchester County And Family Court,4230,,,701411,"Bridge Street West, M60 9DJ",,Open
Sandwell Metropolitan Borough Council,Wolverhampton Combined Court Centre,Wolverhampton Combined Court Centre,4620,,,41047,"Pipers Row, Wolverhampton, WV1 3LQ",,Open
Sefton Metropolitan Borough Council,Liverpool Civil and Family Court,Liverpool Civil and Family Court,4320,,,345663,"Vernon Street, City Square, L2 2BX",,Closed
Sheffield City Council ,Sheffield Designated Family Court,Sheffield Designated Family Court,4420,,,778638,"48 West Bar, Sheffield, South Yorkshire, S3 8PH",,Open
Shropshire Council,Wolverhampton Combined Court Centre,Wolverhampton Combined Court Centre,3245,,,41047,"Pipers Row, Wolverhampton, WV1 3LQ",,Open
Slough Borough Council,Reading County Court,Reading County Court And Family Court,350,,,185657,"Friar Street, RG1 1HE",,Open
Solihull Metropolitan Borough Council,Birmingham Civil & Family Justice Centre,Birmingham Civil and Family Justice Centre,4625,,,231596,"Priory Courts, 33 Bull Street, B4 6DS",,Open
South Tyneside Metropolitan Borough Council ,Newcastle Combined Court,Newcastle Civil And Family Courts And Tribunals Centre,4520,,,366796,"Barras Bridge, Newcastle-Upon-Tyne, NE1 8QF",,Open
Southend Borough Council,Chelmsford DFC,Chelmsford County And Family Court,1590,,,816875,"Priory Place, New London Road, CM2 0PP, CM2 0PP",,Open
St Helens Borough Council,Liverpool Civil and Family Court,Liverpool Civil and Family Court,4315,,,345663,"Vernon Street, City Square, L2 2BX",,Closed
Staffordshire County Council,Stoke-on-Trent Combined Court,Stoke-on-Trent Combined Court,3450,,,195496,"Bethesda Street, ST1 3BP",,Open
Stockport Metropolitan Borough Council,Manchester Civil Justice Centre,Manchester County And Family Court,4235,,,701411,"Bridge Street West, M60 9DJ",,Open
Stoke-on-Trent City Council,Stoke-on-Trent Combined Court,Stoke-on-Trent Combined Court,3455,,,195496,"Bethesda Street, ST1 3BP",,Open
Suffolk County Council,Chelmsford DFC,Chelmsford County And Family Court,3500,,,816875,"Priory Place, New London Road, CM2 0PP, CM2 0PP",,Open
Sunderland City Council,Newcastle Combined Court,Newcastle Civil And Family Courts And Tribunals Centre,4525,,,366796,"Barras Bridge, Newcastle-Upon-Tyne, NE1 8QF",,Open
Surrey County Council,Guildford MC and Family Court,Guildford Magistrates' Court And Family Court,3600,,,568484,"The Law Courts, Mary Road, GU1 4PS",,Open
Tameside Metropolitan Borough Council,Manchester Civil Justice Centre,Manchester County And Family Court,4240,,,701411,"Bridge Street West, M60 9DJ",,Open
Telford & Wrekin Council,Wolverhampton Combined Court Centre,Wolverhampton Combined Court Centre,3240,,,41047,"Pipers Row, Wolverhampton, WV1 3LQ",,Open
The Vale of Glamorgan Council,Cardiff Civil Justice Centre,Cardiff Civil And Family Justice Centre,6950,,,234850,"2 Park Street, Cardiff, CF10 1ET",,Open
Thurrock Borough Council,Chelmsford DFC,Chelmsford County And Family Court,1595,,,816875,"Priory Place, New London Road, CM2 0PP, CM2 0PP",,Open
Torfaen County Borough Council,Newport Civil and Family Court,Newport (South Wales) County Court And Family Court,6945,,,217250,"The Concourse, Clarence House, Clarence Place, Newport, Gwent, NP19 7AA",,Open
Trafford Metropolitan Borough Council,Manchester Civil Justice Centre,Manchester County And Family Court,4245,,,701411,"Bridge Street West, M60 9DJ",,Open
Wakefield Metropolitan District Council ,Leeds Combined Court,Leeds Combined Court Centre,4725,,,455174,"Oxford Row, LS1 3BG",,Open
Walsall Metropoloitan Borough Council,Wolverhampton Combined Court Centre,Wolverhampton Combined Court Centre,4630,,,41047,"Pipers Row, Wolverhampton, WV1 3LQ",,Open
Warrington Borough Council,Liverpool Civil and Family Court,Liverpool Civil and Family Court,655,,,345663,"Vernon Street, City Square, L2 2BX",,Closed
Warwickshire County Council,Coventry Combined Court Centre,Coventry Combined Court Centre,3700,,,497679,"Much Park Street, Coventry, CV1 2SN",,Open
West Berkshire Council,Reading County Court,Reading County Court And Family Court,340,,,185657,"Friar Street, RG1 1HE",,Open
West Northamptonshire Council,"Northampton Crown, County & Family Court","Northampton Crown Court, County Court And Family Court",2845,,,195489,"85 - 87 Lady's Lane, Northampton, NN1 3HQ",,Open
West Sussex County Council,Brighton DFC,Brighton County And Family Court,3800,,,298390,"1 Edward Street, Brighton, East Sussex, BN2 0JD",,Open
Westmorland and Furness Council,Carlisle Combined Court,Carlisle Combined Court,935,,,45106,"Courts of Justice, Earl Street, CA1 1DJ",,Open
Wigan Metropolitan Borough Council,Manchester Civil Justice Centre,Manchester County And Family Court,4250,,,701411,"Bridge Street West, M60 9DJ",,Open
Wirral Council,Liverpool Civil and Family Court,Liverpool Civil and Family Court,4325,,,345663,"Vernon Street, City Square, L2 2BX",,Closed
Wokingham Borough Council,Reading County Court,Reading County Court And Family Court,360,,,185657,"Friar Street, RG1 1HE",,Open
Wolverhampton City Council,Wolverhampton Combined Court Centre,Wolverhampton Combined Court Centre,4635,,,41047,"Pipers Row, Wolverhampton, WV1 3LQ",,Open
Worcestershire County Council,Worcester Combined Court,Worcester Combined Court,1855,,,102050,"Shire Hall, Foregate Street, WR1 1EQ",,Open
Wrexham County Borough Council,Wrexham DFC,Wrexham County & Family Court,6955,,,637145,"Bodhyfyd, The Law Courts, LL12 7BP",,Open
York City Council ,York Combined Court,York County Court And Family Court,2741,,,107581,"Picadilly House, 55 Picadilly, YO1 9WL",,Open
