Local Authorities,Designated Family Ct,RefData Court Name,Local Custodian code,Specific PostCodes,Excludes,epimms,Address,emailAddress,Status,DFJ Area,Region,Path Finder Enabled,
Teignbridge District Council,Plymouth Combined Court,Plymouth Combined Court,1130,,,339463,"The Law Courts, Armada Way,PL1 2ER",,Open,Plymouth City Council ,South West,TRUE,
Torbay Council,Plymouth Combined Court,Plymouth Combined Court,1165,,,339463,"The Law Courts, Armada Way,PL1 2ER",,Open,Plymouth City Council ,South West,TRUE,
Torridge District Council,Exeter Combined Court,Exeter Combined Court,1145,,,735217,"Southernhay Gardens, Exeter,EX1 1UH",,Open,Plymouth City Council ,South West,FALSE,
West Devon Borough Council,Plymouth Combined Court,Plymouth Combined Court,1150,,,339463,"The Law Courts, Armada Way,PL1 2ER",,Open,Plymouth City Council ,South West,TRUE,
Babergh District Council,Chelmsford County Court,Chelmsford County And Family Court,3505,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
Basildon Borough Council,Chelmsford County Court,Chelmsford County And Family Court,1505,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
Braintree District Council,Chelmsford County Court,Chelmsford County And Family Court,1510,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
Brentwood Borough Council,Chelmsford County Court,Chelmsford County And Family Court,1515,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
Castle Point Borough Council,Chelmsford County Court,Chelmsford County And Family Court,1520,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
Chelmsford City Council,Chelmsford County Court,Chelmsford County And Family Court,1525,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
Colchester City Council,Chelmsford County Court,Chelmsford County And Family Court,1530,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
East Suffolk Council,Chelmsford County Court,Chelmsford County And Family Court,3540,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
Epping Forest District Council,Chelmsford County Court,Chelmsford County And Family Court,1535,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
Harlow District Council,Chelmsford County Court,Chelmsford County And Family Court,1540,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
Ipswich Borough Council,Chelmsford County Court,Chelmsford County And Family Court,3515,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
Maldon District Council,Chelmsford County Court,Chelmsford County And Family Court,1545,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
Mid Suffolk District Council,Chelmsford County Court,Chelmsford County And Family Court,3520,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
Rochford District Council,Chelmsford County Court,Chelmsford County And Family Court,1550,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
Tendring District Council,Chelmsford County Court,Chelmsford County And Family Court,1560,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
Uttlesford District Council,Chelmsford County Court,Chelmsford County And Family Court,1570,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
West Suffolk Council,Chelmsford County Court,Chelmsford County And Family Court,3545,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East,FALSE,
Elmbridge Borough Council,West London Family Court,West London Family Court,3605,,,373584,"Gloucester House, 4 Dukes Green, Feltham, Middlesex,TW14 0LR",,Open,West London,London,FALSE,
Epsom And Ewell Borough Council,West London Family Court,West London Family Court,3610,,,373584,"Gloucester House, 4 Dukes Green, Feltham, Middlesex,TW14 0LR",,Open,West London,London,FALSE,
Guildford Borough Council,West London Family Court,West London Family Court,3615,,,373584,"Gloucester House, 4 Dukes Green, Feltham, Middlesex,TW14 0LR",,Open,West London,London,FALSE,
Mole Valley District Council,Guildford County and Family Court,Guildford Magistrates' Court And Family Court,3620,,,568484,"Mary Road, The Law Courts,GU1 4PS",,Open,Surrey,South East,FALSE,
Reigate And Banstead Borough Council,Guildford County and Family Court,Guildford Magistrates' Court And Family Court,3625,,,568484,"Mary Road, The Law Courts,GU1 4PS",,Open,Surrey,South East,FALSE,
Runnymede Borough Council,Guildford County Court and Family Court,Guildford Magistrates' Court And Family Court,3630,,,568484,"Mary Road, The Law Courts,GU1 4PS",,Open,Surrey,South East,FALSE,
Spelthorne Borough Council,Guildford County Court and Family Court,Guildford Magistrates' Court And Family Court,3635,,,568484,"Mary Road, The Law Courts,GU1 4PS",,Open,Surrey,South East,FALSE,
Surrey Heath Borough Council,Guildford County and Family Court,Guildford Magistrates' Court And Family Court,3640,,,568484,"Mary Road, The Law Courts,GU1 4PS",,Open,Surrey,South East,FALSE,
Tandridge District Council,Guildford County and Family Court,Guildford Magistrates' Court And Family Court,3645,,,568484,"Mary Road, The Law Courts,GU1 4PS",,Open,Surrey,South East,FALSE,
Waverley Borough Council,Guildford County and Family Court ,Guildford Magistrates' Court And Family Court,3650,,,568484,"Mary Road, The Law Courts,GU1 4PS",,Open,Surrey,South East,FALSE,
Woking Borough Council,Guildford County and Family Court,Guildford Magistrates' Court And Family Court,3655,,,568484,"Mary Road, The Law Courts,GU1 4PS",,Open,Surrey,South East,FALSE,
Blaby District Council,Leicester Family Court,Leicester Crown Court,2405,,,425094,"90 Wellington Street, Leicester,LE1 6HG",,Open,Leicestershire,Midlands,FALSE,
Charnwood Borough Council,Leicester Family Court,Leicester Crown Court,2410,,,425094,"90 Wellington Street, Leicester,LE1 6HG",,Open,Leicestershire,Midlands,FALSE,
